ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
SVR,EXE,Advanced,5,7.786029877370744,5.691435309362989
SVR,FANG,Basic,1,5.893587506313189,5.24442852112046
SVR,FANG,Basic,3,15.586765796099279,10.136966064481863
SVR,FANG,Basic,5,17.89549998839491,12.373052557163415
SVR,FANG,Advanced,1,4.372255388633264,5.373062188337575
SVR,FANG,Advanced,3,8.40231432916781,10.480122693981118
SVR,FANG,Advanced,5,11.00650664622977,14.325240993965128
SVR,GEHC,Basic,1,3.6924364052083685,9.051019398968988
SVR,GEHC,Basic,3,5.103707978799171,9.931515147712853
SVR,GEHC,Basic,5,4.881181779466889,7.583168971089977
SVR,GEHC,Advanced,1,1.8336813157003018,2.1850488430120474
SVR,GEHC,Advanced,3,3.3968336635619614,3.4091808333471283
SVR,GEHC,Advanced,5,4.65574641758111,3.9197943991641138
SVR,GILD,Basic,1,4.04486408526877,5.144658356194472
SVR,GILD,Basic,3,5.443485957939346,18.331913676409258
SVR,GILD,Basic,5,9.127771210707463,18.015999758031022
SVR,GILD,Advanced,1,2.395996585243947,3.188155273842714
SVR,GILD,Advanced,3,4.022835600319649,5.381375524219803
SVR,GILD,Advanced,5,4.772293143435437,6.906954721448804
SVR,GIS,Basic,1,1.1396893880861594,1.5234415608742125
SVR,GIS,Basic,3,2.2526003651797395,2.5846092355910577
SVR,GIS,Basic,5,3.985516656657173,2.4910267151510626
SVR,GIS,Advanced,1,0.838581854136274,0.9157011906913215
SVR,GIS,Advanced,3,1.5398531829346513,1.3667642173213899
SVR,GIS,Advanced,5,1.9370453338526337,1.6536508288500327
SVR,GOOGL,Basic,1,9.668519290819853,16.124038398366842
SVR,GOOGL,Basic,3,20.997437566995078,41.47748660402907
SVR,GOOGL,Basic,5,23.61807155747503,51.03551814415991
SVR,GOOGL,Advanced,1,5.404665633775469,8.062885784191366
SVR,GOOGL,Advanced,3,9.984714765806814,17.07919579606929
SVR,GOOGL,Advanced,5,14.01676713808073,24.24332982305798
SVR,GS,Basic,1,30.02611844158861,71.35970018814135
SVR,GS,Basic,3,54.0871758267566,202.20451336143046
SVR,GS,Basic,5,77.00689037379811,212.21258353744298
SVR,GS,Advanced,1,17.35492325470732,24.38559441394163
SVR,GS,Advanced,3,39.71653116924017,41.15724284696794
SVR,GS,Advanced,5,51.27095444817506,51.77178550910688
SVR,HPE,Basic,1,1.748435317377433,2.202717274602554
SVR,HPE,Basic,3,2.4191162693476165,4.41687932464293
SVR,HPE,Basic,5,2.5354206490787803,5.064150730652144
SVR,HPE,Advanced,1,0.6674482379401834,1.597571007514351
SVR,HPE,Advanced,3,1.281078840479269,3.3439234922401235
SVR,HPE,Advanced,5,1.6074734387386482,4.5617671719439
SVR,IFF,Basic,1,4.636839837194429,4.215212809574476
SVR,IFF,Basic,3,7.317768323005994,6.567051936197962
SVR,IFF,Basic,5,10.615114479510764,7.549619838575095
SVR,IFF,Advanced,1,1.7634515581413264,2.234541210188028
SVR,IFF,Advanced,3,3.10695171579851,3.5649231183620906
SVR,IFF,Advanced,5,4.21025388603346,4.895762178990425
SVR,IP,Basic,1,2.3982480739780074,2.374434250624087
SVR,IP,Basic,3,5.217271585430544,4.112059808986937
SVR,IP,Basic,5,7.68548544250898,3.9136036206178746
SVR,IP,Advanced,1,1.3747578601473711,1.213494361820376
SVR,IP,Advanced,3,2.329551054777219,2.5441036992247152
SVR,IP,Advanced,5,3.1368202451570317,3.4751095417749545
SVR,IRM,Basic,1,5.839868555674616,8.150227604639118
