ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
XGBoost,GIS,Basic,3,1.4105524125847952,1.456191262659169
XGBoost,GIS,Basic,5,1.76029332132878,1.8328518442314847
XGBoost,GIS,Advanced,1,0.7652809263492523,0.7959133703128451
XGBoost,GIS,Advanced,3,1.260824966835839,1.3481195464314855
XGBoost,GIS,Advanced,5,1.4466401860603035,1.671780906570903
XGBoost,GOOGL,Basic,1,6.250255359416518,7.158842727432776
XGBoost,GOOGL,Basic,3,10.210655888154536,13.584129172958686
XGBoost,GOOGL,Basic,5,12.626768033975646,19.087778723317196
XGBoost,GOOGL,Advanced,1,4.808995709757463,7.110951202397954
XGBoost,GOOGL,Advanced,3,9.856363690299395,13.082733827331637
XGBoost,GOOGL,Advanced,5,12.029652962634788,18.999801329734442
XGBoost,GS,Basic,1,14.825777164712035,21.93378502642319
XGBoost,GS,Basic,3,28.288502356567285,30.482493857201174
XGBoost,GS,Basic,5,35.555357912170464,37.09446996307934
XGBoost,GS,Advanced,1,13.034969555135717,21.3518894432695
XGBoost,GS,Advanced,3,27.741167607281067,30.969140182831463
XGBoost,GS,Advanced,5,32.81360320317753,37.528846119046506
XGBoost,HPE,Basic,1,0.6016850236542663,1.6123450938994637
XGBoost,HPE,Basic,3,1.0239687688336994,3.675334896835677
XGBoost,HPE,Basic,5,1.416476210695714,4.518805826438013
XGBoost,HPE,Advanced,1,0.5542848280543958,1.5553359474176471
XGBoost,HPE,Advanced,3,1.001743862144283,3.1406113135884106
XGBoost,HPE,Advanced,5,1.3228600493587575,4.112689185618212
XGBoost,IFF,Basic,1,1.2777447402349305,1.8767777864038724
XGBoost,IFF,Basic,3,2.234512388244113,3.103287380483601
XGBoost,IFF,Basic,5,2.851476711957727,4.226226235419286
XGBoost,IFF,Advanced,1,1.2554523137684295,1.8718514426558837
XGBoost,IFF,Advanced,3,2.217879116450375,3.1535999350717154
XGBoost,IFF,Advanced,5,2.897422719658211,4.255230507070348
XGBoost,IP,Basic,1,1.1584700851278742,1.059432376408427
XGBoost,IP,Basic,3,1.9514592690034056,1.8643498752481418
XGBoost,IP,Basic,5,2.558226247307944,2.4409923656443087
XGBoost,IP,Advanced,1,1.0976409501382638,1.0717132325648313
XGBoost,IP,Advanced,3,1.9876277302725656,1.89730868012195
XGBoost,IP,Advanced,5,2.5404551274008123,2.5255860059871993
XGBoost,IRM,Basic,1,2.362070502289998,3.769525449200618
XGBoost,IRM,Basic,3,3.9070076159751155,6.106443427517321
XGBoost,IRM,Basic,5,5.093485890196619,7.950063969950345
XGBoost,IRM,Advanced,1,2.032474487458197,2.587546177237656
XGBoost,IRM,Advanced,3,3.716833737933816,4.985925751698477
XGBoost,IRM,Advanced,5,4.807285597648274,7.064476898213046
XGBoost,JPM,Basic,1,4.666513553236918,4.823288412741425
XGBoost,JPM,Basic,3,8.511621798061274,7.898727254314932
XGBoost,JPM,Basic,5,10.156067657409649,9.5679241499936
