ML_Model,FeatureSet,Horizon_Days,Symbol,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,5,IFF,6.649151170118501,6.651884417616637,6.5480002788477645
Elastic Net,Advanced,5,IP,4.977964602082783,4.996476207701484,4.951514741793284
Elastic Net,Advanced,5,IRM,14.56516900277847,14.954468243856788,15.079289294264603
Elastic Net,Advanced,5,JPM,54.071416945123225,54.48713402790614,55.23562947955556
Elastic Net,Advanced,5,KIM,3.226514784810438,3.3521109240346187,3.3667242264875696
Elastic Net,Advanced,5,KO,3.491928811681386,3.6264476632915428,3.7087363764665486
Elastic Net,Advanced,5,LNT,26.401901956703867,26.37248472842319,26.369200727650174
Elastic Net,Advanced,5,LYB,39.52153022152943,39.406957306172714,39.49472324355236
Elastic Net,Advanced,5,MAA,13.85741916644385,13.822066331513435,13.930085184200795
Elastic Net,Advanced,5,META,67.07678845033081,66.5521609335161,67.28497983681845
Elastic Net,Advanced,5,MLM,272.71398268506533,272.0768651721047,271.802914139388
Elastic Net,Advanced,5,MMM,7.321877249389419,7.47632144430376,7.51357714258281
Elastic Net,Advanced,5,MOS,3.298836890997287,3.2946579979530135,3.3552575247923726
Elastic Net,Advanced,5,NFLX,58.96266738548917,58.934272619195674,58.927809015830974
Elastic Net,Advanced,5,NKE,2.2425913680151273,2.1261955337095975,2.0355756685957904
Elastic Net,Advanced,5,NOW,115.847994341849,115.79467467949617,115.49475399112697
Elastic Net,Advanced,5,OMC,3.3060976468957226,3.299547825124288,3.318056991652516
Elastic Net,Advanced,5,PEP,25.44094138961375,25.601925864637632,25.535747061456735
Elastic Net,Advanced,5,PYPL,4.087501888174961,4.063580469674845,4.0615128442558905
Elastic Net,Advanced,5,RL,14.503238284689798,13.897067723810096,14.172900915198015
Elastic Net,Advanced,5,SBUX,19.483914192644793,19.50758127339821,19.330153399172467
Elastic Net,Advanced,5,STLD,15.843896710592665,15.328824240507746,15.31451880783033
Elastic Net,Advanced,5,SW,5.736732510906341,5.588380470448296,5.616666351575154
