ML_Model,FeatureSet,Horizon_Days,Symbol,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,3,CHRW,13.71992581058815,13.830952053153695,13.844659822991543
Elastic Net,Advanced,3,CI,7.432847159285602,7.522586661199446,7.582986163374202
Elastic Net,Advanced,3,CL,9.0280782999343,9.040011880796916,9.031721644853658
Elastic Net,Advanced,3,COO,2.4091384908932727,2.444539941801569,2.4511174561942735
Elastic Net,Advanced,3,COP,6.352326815367215,6.698877832751242,6.6818760707069895
Elastic Net,Advanced,3,COST,48.72757100479234,49.53156117771093,49.70897695040424
Elastic Net,Advanced,3,CSCO,6.783747732991334,6.887514344003501,6.93331853378085
Elastic Net,Advanced,3,CSGP,2.5468633105996554,2.5608038376953286,2.5656455062131136
Elastic Net,Advanced,3,CTAS,7.646722822302019,7.911757912637397,7.982232317470852
Elastic Net,Advanced,3,CTSH,2.8361548099654583,2.8334315623144612,2.831936012159478
Elastic Net,Advanced,3,CTVA,10.302286020207864,10.436024925678494,10.4593959040348
Elastic Net,Advanced,3,CVS,3.261591099759621,3.268959107781232,3.2538588728515707
Elastic Net,Advanced,3,CVX,6.250598971806197,6.314133028904471,6.34642880840396
Elastic Net,Advanced,3,D,15.24552848657945,15.307033741760309,15.303832961679616
Elastic Net,Advanced,3,DASH,21.07246341360865,20.633967193315396,20.39737580915733
Elastic Net,Advanced,3,DG,4.815449380607158,4.865685509702015,4.865563723456085
Elastic Net,Advanced,3,DHR,89.66834922726045,89.74720863959391,89.73372880975772
Elastic Net,Advanced,3,DIS,3.069742940270773,3.038631564724727,3.037234696039696
Elastic Net,Advanced,3,DVA,16.244617776820064,16.13412861266412,16.093449391438334
Elastic Net,Advanced,3,DVN,13.882468126665458,13.998836349786428,14.029327384000231
Elastic Net,Advanced,3,DXCM,45.803615970284056,46.04374814004766,46.07286853424766
Elastic Net,Advanced,3,EA,10.224761825426079,9.801100856596976,9.661968713431621
Elastic Net,Advanced,3,ED,9.664442323352567,9.621096182746063,9.631040829503164
Elastic Net,Advanced,3,EOG,6.156733350010438,6.337739265125783,6.308785648032089
Elastic Net,Advanced,3,EW,1.9549675802157673,2.1609084198754394,2.1604354551144094
Elastic Net,Advanced,3,EXE,5.990795539532171,6.1129113178336505,6.087633874234467
Elastic Net,Advanced,3,FANG,179.61730327766992,179.83744360628788,179.8183724197471
Elastic Net,Advanced,3,GEHC,4.232432372380259,4.437981995941836,4.428565916962121
Elastic Net,Advanced,3,GILD,8.674272725023794,8.874231613927545,8.89575283585165
Elastic Net,Advanced,3,GIS,1.276029072312339,1.2677060558292281,1.252540673508092
Elastic Net,Advanced,3,GOOGL,16.408548025968592,16.347537575107957,16.336362201582393
Elastic Net,Advanced,3,GS,38.730260462405525,37.49526856823753,36.99125321854452
Elastic Net,Advanced,3,HPE,4.20728818098735,4.165867146161731,4.1467617872994005
Elastic Net,Advanced,3,IFF,2.9152064426601196,2.8935938452762837,2.8435802192750854
Elastic Net,Advanced,3,IP,2.694392559382813,2.7336837729777357,2.7210064015160333
Elastic Net,Advanced,3,IRM,6.297922357408365,6.635356001482195,6.635963884213177
Elastic Net,Advanced,3,JPM,8.378596445620673,8.631424190736535,8.751815422013921
Elastic Net,Advanced,3,KIM,7.070510373082959,7.006034446749862,6.997079087702381
Elastic Net,Advanced,3,KO,6.934429592142483,7.148870043884273,7.241544517533309
Elastic Net,Advanced,3,LNT,10.613465553572409,10.625936753921593,10.625418975151495
Elastic Net,Advanced,3,LYB,43.488874268560274,43.38064094832939,43.4872056634704
Elastic Net,Advanced,3,MAA,2.2551638202607016,2.2293479130832483,2.218754865119772
Elastic Net,Advanced,3,META,29.101071144455922,28.826484063545784,28.769687733683053
Elastic Net,Advanced,3,MLM,119.55318629187406,119.41999821144638,119.43968192973051
Elastic Net,Advanced,3,MMM,19.593289205201017,19.959075859636894,19.946742548045812
Elastic Net,Advanced,3,MOS,1.3232722570101048,1.354383760518028,1.3881658624365325
Elastic Net,Advanced,3,NFLX,9.386351635558643,9.364592559522231,9.403635831185214
Elastic Net,Advanced,3,NKE,1.1102521454753402,1.1268844575053039,1.1287928083193568
Elastic Net,Advanced,3,NOW,72.9845146714908,72.82694840729197,72.75786318703865
Elastic Net,Advanced,3,OMC,13.277800540191791,13.251978550108111,13.14425317228919
Elastic Net,Advanced,3,PEP,11.496944027081856,11.504688891576455,11.668462342285663
Elastic Net,Advanced,3,PYPL,3.1358952956579538,3.077946784245863,3.0519342087875434
Elastic Net,Advanced,3,RL,10.572748839896372,10.285980160391649,10.330239563192823
Elastic Net,Advanced,3,SBUX,4.1803244512785644,4.319654849996485,4.198050730826903
Elastic Net,Advanced,3,STLD,12.146763554751194,12.10381289564879,12.057016563197315
Elastic Net,Advanced,3,SW,11.942568712370228,11.933711060393327,11.92430680178161
Elastic Net,Advanced,3,T,4.95057053239921,4.967356107010828,4.966628390045784
Elastic Net,Advanced,3,TGT,4.376594486060333,4.411612416800943,4.50208934447621
Elastic Net,Advanced,3,TPR,216.21645192802637,215.97352779127158,215.95073556860407
Elastic Net,Advanced,3,TSLA,174.1912607498183,174.41839340095896,174.6407363808168
Elastic Net,Advanced,3,TTWO,15.628000563945639,15.613232660185856,15.893037596680369
Elastic Net,Advanced,3,V,9.43828785169843,9.936277027751443,9.93728587917846
Elastic Net,Advanced,3,VMC,13.531394330336115,13.240208688819417,13.141391673641731
Elastic Net,Advanced,3,VST,11.547576044893793,11.626025586078445,11.664796110992784
Elastic Net,Advanced,3,VTR,27.21726417180802,26.973627315421812,26.970981075961276
Elastic Net,Advanced,3,WBD,0.7802655669558567,0.750885534234529,0.7376136369309771
Elastic Net,Advanced,3,WDAY,100.8939220523186,100.73851383230343,100.64544929648254
Elastic Net,Advanced,3,WDC,260.0028853521904,259.25309887246436,258.4966067369765
Elastic Net,Advanced,3,WEC,15.958780847234879,16.014436108794847,16.037402940025526
Elastic Net,Advanced,3,WELL,213.4693480062576,213.02750479432075,213.0597348311104
Elastic Net,Advanced,3,WFC,2.03051982368297,2.0594652185588163,2.0826935670620506
Elastic Net,Advanced,3,WMB,4.321492039929382,4.436659402347505,4.489769769609822
